concept,subtopics
ML in Product Mgmt.,"Understanding Machine Learning Fundamentals for PMs|Identifying Use Cases for ML in Products|Data Requirements and Collection for ML Models|Model Training, Evaluation, and Deployment Lifecycle|Ethical Considerations and Bias in ML Models|A/B Testing ML-Powered Features|Measuring Impact and ROI of ML Features|Communicating ML Concepts to Stakeholders"
AI in Product Mgmt.,"Differentiating AI, ML, and Deep Learning for PMs|Identifying AI Opportunities Across Product Lifecycle|Understanding AI Capabilities (NLP, Computer Vision, Generative AI)|Data Strategy for AI Products|User Experience Design for AI-Powered Features|Ethical AI Principles and Responsible AI Development|Measuring AI Product Performance and User Adoption|AI Governance and Risk Management"
Leadership and Influence,Defining Leadership Styles and Their Impact|Effective Communication Strategies|Building Trust and Credibility|Delegation and Empowerment Techniques|Conflict Resolution and Negotiation Skills|Motivating and Inspiring Teams|Strategic Thinking and Vision Setting|Emotional Intelligence in Leadership
Building and Leading Teams,"Team Formation and Dynamics (Tuckman's Stages)|Defining Roles, Responsibilities, and Expectations|Fostering Psychological Safety and Trust|Effective Feedback and Coaching Techniques|Managing Team Performance and Accountability|Conflict Resolution within Teams|Promoting Diversity, Equity, and Inclusion|Remote and Hybrid Team Management"
Influencing without Authority,"Understanding Sources of Influence (Expertise, Relationships)|Building Strong Professional Relationships|Active Listening and Empathy Skills|Persuasion Techniques and Framing Arguments|Negotiating and Finding Common Ground|Storytelling for Impact and Buy-in|Building Coalitions and Alliances|Demonstrating Value and Credibility"
Learn the basics,"What is the Internet and Web Browsers|Client-Server Architecture Fundamentals|HTML Document Structure and Elements|CSS Styling Fundamentals and Selectors|JavaScript Core Concepts (Variables, Data Types, Functions)|Using Browser Developer Tools|Basic Command Line Interface (CLI) Usage|Introduction to Version Control Systems (Git)|Understanding Web Hosting and Domains"
Writing Semantic HTML,"HTML Document Structure (DOCTYPE, head, body)|Block vs. Inline Elements|Semantic Sectioning Elements (header, nav, main, article, section, aside, footer)|Text Semantics (headings, paragraphs, strong, em, blockquote)|Lists (unordered, ordered, description lists)|Tables for Tabular Data (table, tr, th, td)|Media Elements (img, audio, video) and Accessibility|HTML5 New Features (data attributes, custom elements intro)|Accessibility Best Practices (ARIA attributes)"
Forms and Validations,"Basic Form Structure (form tag, action, method)|Common Input Types (text, password, email, number, date, checkbox, radio)|Form Controls (textarea, select, button, label)|HTML5 Form Validation Attributes (required, minlength, pattern)|Client-Side JavaScript Validation Basics|Custom Validation Messages and User Feedback|Form Submission and Data Handling (GET vs POST)|Accessibility in Forms (fieldset, legend, for attribute)|Introduction to Server-Side Validation Concepts"
SEO Basics,"Introduction to Search Engine Optimization (SEO)|Keyword Research and Placement Strategies|On-Page SEO (Title Tags, Meta Descriptions, Header Tags)|Content Optimization for Search Engines|Image Optimization (Alt Text, File Size)|Technical SEO (Sitemaps, Robots.txt, Canonical Tags)|Mobile-Friendliness and Page Speed Optimization|Google Search Console and Analytics Introduction|Understanding Backlinks and Off-Page SEO"
Making Layouts,"The CSS Box Model (Content, Padding, Border, Margin)|Display Properties (block, inline, inline-block, none)|Positioning Contexts (static, relative, absolute, fixed, sticky)|Float Layouts and Clearfix Techniques|Flexbox Fundamentals (Container and Item Properties)|Advanced Flexbox Techniques (Alignment, Ordering, Responsiveness)|CSS Grid Layout Basics (Grid Container, Grid Items)|Complex Grid Layouts (Grid Areas, Implicit Grids)|Layout Best Practices and Performance Considerations"
Responsive Design,"Understanding Viewports and Device Pixels|Fluid Grids and Flexible Images|Media Queries Syntax and Breakpoints|Mobile-First vs. Desktop-First Approaches|Responsive Typography and Sizing Units (rem, em, vw, vh)|Implementing Responsive Navigation Patterns|Performance Considerations for Responsive Sites|Testing Responsive Designs with Browser Dev Tools|Accessibility in Responsive Web Design"
Fetch API / Ajax (XHR),"Introduction to Asynchronous JavaScript|XMLHttpRequest (XHR) Basics|Understanding JavaScript Promises (Pending, Fulfilled, Rejected)|Fetch API Fundamentals (Making GET Requests)|Handling Fetch Responses (json(), text(), blob())|Making POST, PUT, and DELETE Requests with Fetch|Error Handling with Fetch (try/catch, .catch())|Async/Await Syntax for Cleaner Asynchronous Code|CORS (Cross-Origin Resource Sharing) Concepts"
Learn DOM Manipulation,"What is the Document Object Model (DOM)|Selecting Elements (getElementById, querySelector, querySelectorAll)|Modifying Element Content (textContent, innerHTML)|Changing Element Attributes (setAttribute, getAttribute, removeAttribute)|Styling Elements Dynamically (style property, classList)|Creating and Appending New Elements (createElement, appendChild)|Removing Elements from the DOM (removeChild, remove)|Event Handling (addEventListener, event object)|Event Delegation and Propagation"
VCS Hosting,"Introduction to Version Control Systems (Git)|Benefits of VCS Hosting (Collaboration, Backup)|GitHub Basics (Repositories, Commits, Branches)|Cloning and Forking Repositories|Pushing and Pulling Changes to Remote Repositories|Pull Requests / Merge Requests Workflow|Resolving Merge Conflicts|GitHub Issues and Project Management Features|Introduction to GitLab and Bitbucket"
Package Managers,"What are Package Managers and Their Purpose|Node.js and npm Installation|Initializing a Project with npm (npm init)|Installing and Managing Dependencies (npm install, npm uninstall)|Understanding package.json and package-lock.json|Running Scripts with npm (npm run)|Global vs. Local Packages|Dependency Types (dependencies, devDependencies)|Security Audits and Updates (npm audit, npm update)"
yarn,"Yarn Installation and Setup|Yarn vs. npm: Key Differences and Advantages|Initializing Projects with Yarn (yarn init)|Adding and Removing Dependencies (yarn add, yarn remove)|Understanding yarn.lock File|Running Scripts with Yarn (yarn run)|Yarn Workspaces for Monorepos|Yarn Plug'n'Play (PnP) Concept|Migrating Projects from npm to Yarn"
pnpm,"pnpm Installation and Setup|pnpm's Unique Approach (Content-Addressable Store, Symlinks)|Advantages of pnpm (Disk Space Efficiency, Speed)|Initializing Projects with pnpm (pnpm init)|Adding and Removing Dependencies (pnpm add, pnpm remove)|Understanding pnpm-lock.yaml File|Running Scripts with pnpm (pnpm run)|pnpm Workspaces for Monorepos|Migrating Projects from npm/Yarn to pnpm"
Pick a Framework,"Why Use a JavaScript Framework|Understanding the Framework Ecosystem (SPA, SSR, SSG)|Key Differences Between Frameworks (Virtual DOM, Reactivity)|Component-Based Architecture Principles|Common State Management Patterns|Client-Side Routing Concepts|Build Tools and Development Servers|Performance Considerations in Frameworks|Criteria for Choosing the Right Framework"
Vue.js,"Vue Instance and Data Binding (v-bind, v-model)|Component Basics (Props, Events, Slots)|Conditional Rendering (v-if, v-show) and List Rendering (v-for)|Computed Properties and Watchers|Lifecycle Hooks (created, mounted, updated)|Vue Router for Navigation|State Management with Pinia (or Vuex)|Composition API (setup, ref, reactive)|Server-Side Rendering with Nuxt.js"
Svelte,"Svelte Component Structure (.svelte files)|Reactivity and State Management ($: syntax)|Props and Event Handling in Svelte|Conditional and List Rendering|Lifecycle Functions (onMount, onDestroy)|Svelte Stores for Global State Management|Transitions and Animations|SvelteKit for Full-Stack Applications|Context API and Component Composition"
Solid JS,"Solid's Reactive Primitives (createSignal, createEffect, createMemo)|JSX Syntax and Component Structure|Props and Event Handling|Control Flow Components (Show, For)|Lifecycle Hooks (onMount, onCleanup)|Context API for State Sharing|Stores and Global State Management|Server-Side Rendering and Hydration|Performance Optimization Techniques"
Qwik,Resumability and Qwik's Core Principles|Qwik Components and JSX|Signals and State Management|Event Handling and Listeners|Lazy Loading and Code Splitting|Qwik City for Routing and Data Fetching|Server-Side Rendering and Hydration|Optimizing for Core Web Vitals|Deployment and Production Best Practices
Writing CSS,"CSS Syntax and Basic Selectors (Type, Class, ID)|Specificity, Cascade, and Inheritance|Units (px, em, rem, %, vw, vh) and Color Formats (hex, rgb, hsl)|Text and Font Styling Properties|Box Model and Sizing Properties|Backgrounds and Borders|Basic Layouts (Display, Position, Floats)|Transitions and Transforms|Media Queries for Responsiveness"
Tailwind,"Utility-First CSS Philosophy|Installation and Setup (PostCSS, PurgeCSS)|Core Utility Classes (Spacing, Typography, Colors, Flexbox)|Responsive Design with Tailwind Breakpoints|Customizing Tailwind Configuration (tailwind.config.js)|Applying Styles Conditionally (Hover, Focus, Dark Mode)|Extracting Components with @apply|Tailwind Plugins and Extending Functionality|Performance Optimization (JIT, PurgeCSS)"
CSS Architecture,"Challenges of Large-Scale CSS|Modular CSS Principles|BEM (Block, Element, Modifier) Methodology|SMACSS (Scalable and Modular Architecture for CSS)|ITCSS (Inverted Triangle CSS)|CSS-in-JS Concepts (Styled Components, Emotion)|Atomic CSS Principles|CSS Variables and Design Systems|Linting and Best Practices for Maintainable CSS"
CSS Preprocessors,"Introduction to CSS Preprocessors and Benefits|Variables and Nesting in Preprocessors|Mixins and Functions for Reusability|Partials and Imports for Modular CSS|Control Directives (Conditionals, Loops)|Integrating Preprocessors with Build Tools"
BEM,Introduction to BEM Methodology|Understanding Blocks in BEM|Defining Elements within Blocks|Applying Modifiers for Variations|BEM Naming Conventions and Best Practices|Implementing BEM with CSS Preprocessors
Sass,"Sass vs. SCSS Syntax Overview|Variables and Data Types in Sass|Nesting Rules and Parent Selector|Mixins and Functions for Code Reusability|Partials and `@import` for Modular Stylesheets|Control Directives (`@if`, `@for`, `@each`, `@while`)|Extending and Inheritance with `@extend`|Sass Modules and Namespacing|Integrating Sass into Build Workflows"
PostCSS,"What is PostCSS and its Core Concepts|Understanding the PostCSS Plugin Ecosystem|Using Autoprefixer with PostCSS|Implementing CSS Variables and Custom Properties|PostCSS for Future CSS Features (e.g., Nesting)|Integrating PostCSS into Build Pipelines"
Build Tools,"Introduction to Build Tools and their Purpose|Common Build Tool Tasks (Compilation, Minification)|Task Runners vs. Module Bundlers|Configuring Basic Build Scripts|Optimizing Assets (Images, Fonts)|Automating Development Workflows (Watch, Live Reload)|Integrating Build Tools with CI/CD"
Linters and Formatters,Purpose of Linters and Code Formatters|Identifying Code Style Issues with Linters|Automatic Code Formatting with Formatters|Configuring ESLint Rules and Plugins|Integrating Prettier into Development Workflow|Linting and Formatting in IDEs and Pre-commit Hooks
Module Bundlers,"Understanding JavaScript Modules (ESM, CommonJS)|Why Module Bundlers are Essential|Entry Points and Output Bundles|Code Splitting and Lazy Loading|Tree Shaking for Bundle Optimization|Asset Management (CSS, Images, Fonts)|Hot Module Replacement (HMR) for Development"
Parcel,"Introduction to Parcel and Zero Configuration|Basic Project Setup and Asset Handling|Development Server and Hot Module Replacement|Handling Different Asset Types (JS, CSS, HTML, Images)|Optimizing Production Builds with Parcel|Extending Parcel with Plugins and Custom Transformers"
Rollup,"Introduction to Rollup and its Focus on Libraries|Basic Configuration for JavaScript Bundling|Tree Shaking and ES Module Optimization|Handling CommonJS and Third-Party Dependencies|Rollup Plugins for Asset Processing|Output Formats (ESM, CommonJS, UMD, IIFE)|Code Splitting and Multi-Entry Bundles"
esbuild,Introduction to esbuild and its Performance Advantages|Basic CLI Usage for Bundling and Transformation|Configuring esbuild for JavaScript and TypeScript|Transforming and Minifying Code|Bundling CSS and Other Assets|Integrating esbuild with Build Scripts and Dev Servers
Prettier,"What Prettier is and its Opinionated Formatting|Installing and Running Prettier CLI|Configuring Prettier Options (Print Width, Tabs vs. Spaces)|Integrating Prettier with IDEs and Editors|Prettier with Linting Tools (e.g., ESLint)|Automating Formatting with Pre-commit Hooks"
Vitest,"Introduction to Vitest and Vite Integration|Writing Basic Unit Tests with Vitest|Assertions and Matchers (expect API)|Mocking Functions and Modules|Testing Asynchronous Code|Test Coverage Reporting|Component Testing with Vitest (e.g., React Testing Library)"
Jest,"Introduction to Jest and its Testing Philosophy|Writing Basic Unit Tests with Jest|Assertions and Matchers (expect API)|Mocking Functions, Modules, and Timers|Testing Asynchronous Code (Promises, Async/Await)|Snapshot Testing for UI Regression|Test Coverage and Reporting|Integration Testing and End-to-End Testing Setup"
Playwright,"Introduction to Playwright and Browser Automation|Setting up Playwright for End-to-End Testing|Locating Elements and Interacting with Pages|Assertions and Waiting for Elements|Handling User Interactions (Clicks, Typing, Navigation)|Testing Across Multiple Browsers and Devices|Debugging Tests and Tracing|Integrating Playwright with CI/CD Pipelines"
Authentication Strategies,Fundamentals of Authentication vs. Authorization|Session-Based Authentication (Cookies)|Token-Based Authentication (JWT)|OAuth 2.0 and OpenID Connect|Multi-Factor Authentication (MFA)|Password Hashing and Storage Best Practices|Single Sign-On (SSO) Concepts|Authentication in SPAs and APIs
Content Security Policy,"Introduction to CSP and its Purpose|CSP Directives (script-src, style-src, default-src)|Reporting CSP Violations|Implementing CSP in Web Applications|CSP Nonces and Hashes for Inline Scripts|Strict CSP and Best Practices|Bypassing Common CSP Misconfigurations"
OWASP Security Risks,"Introduction to OWASP and the Top 10|Injection Flaws (SQL, NoSQL, Command)|Broken Authentication and Session Management|Cross-Site Scripting (XSS) Vulnerabilities|Insecure Deserialization|Security Misconfiguration|Broken Access Control|Cross-Site Request Forgery (CSRF)|Using OWASP Resources for Secure Development"
Web Components,"Introduction to Web Components Standards|Custom Elements: Defining and Registering|Shadow DOM: Encapsulation and Styling|HTML Templates: Reusable Markup|HTML Imports (Historical Context and Alternatives)|Lifecycle Callbacks of Custom Elements|Communicating with Custom Elements (Props, Events, Slots)|Building Reusable UI Libraries with Web Components"
Type Checkers,"Introduction to Static vs. Dynamic Typing|Benefits of Type Checkers in JavaScript|Basic Type Annotations (Primitives, Arrays, Objects)|Interface and Type Alias Definitions|Generics for Reusable Components|Type Inference and Type Guards|Configuring TypeScript Compiler Options|Integrating Type Checkers with Build Tools"
Custom Elements,"Introduction to Custom Elements Specification|Defining a Custom Element (Class and `customElements.define`)|Custom Element Lifecycle Callbacks (connectedCallback, disconnectedCallback)|Attributes and Properties in Custom Elements|Shadow DOM Integration for Encapsulation|Styling Custom Elements (CSS Custom Properties, ::part, ::slotted)|Communicating with Custom Elements (Events, Slots)|Extending Built-in HTML Elements"
HTML Templates,Introduction to the HTML template tag|Cloning and instantiating template content|Using slot elements for content distribution|Styling template content within the DOM|Integrating templates with JavaScript for dynamic rendering|Template use cases and best practices
Shadow DOM,"Introduction to Web Components and Encapsulation|Creating and attaching a Shadow Root (open vs. closed)|Styling Shadow DOM content (CSS variables, ::part, ::slotted)|Event handling within Shadow DOM boundaries|Shadow DOM vs. Light DOM interaction and composition|Accessibility considerations in Shadow DOM|Real-world applications of Shadow DOM"
SSR,"Understanding Client-Side vs. Server-Side Rendering|Benefits and drawbacks of SSR (SEO, performance, TTFB)|Basic SSR architecture and setup (e.g., Node.js with Express)|Hydration process and its challenges|Data fetching strategies in SSR applications|Caching mechanisms for SSR performance|Error handling and debugging in SSR environments|Framework-specific SSR implementations (e.g., Next.js, Nuxt.js)"
react-router,"Introduction to Client-Side Routing in React|Installation and basic setup (BrowserRouter, Routes, Route)|Navigating with Link and NavLink components|Dynamic routing and URL parameters (useParams)|Nested routes and layout components|Programmatic navigation with useNavigate hook|Route guards and authentication patterns|Error handling and 404 pages|Advanced features like lazy loading and data loaders"
Nuxt.js,"Introduction to Nuxt.js and the Vue.js ecosystem|Project setup and directory structure conventions|Pages and file-based routing system|Layouts and component organization|Data fetching strategies (SSR, SSG, Client-side)|State management with Pinia|Middleware and authentication flows|Deployment strategies (SSR, Static, Hybrid)|Nuxt.js module ecosystem and extensibility"
Svelte Kit,"Introduction to Svelte and SvelteKit framework|Project setup and file-based routing|Layouts and component structure|Data loading with load functions (+page.server.js, +page.js)|Form actions and data mutations|Endpoint routes (+server.js) for API creation|Error handling and redirects|Deployment targets (SSR, Static, Adapter-specific)|Advanced features like stores and hooks"
Apollo,"Introduction to GraphQL and its advantages|Setting up Apollo Client in a web application|Executing queries with useQuery hook|Performing mutations for data modification with useMutation|Managing local state with Apollo Client cache|Real-time data with GraphQL subscriptions|Error handling and loading states in Apollo|Authentication and authorization with Apollo Client|Advanced cache management (optimistic updates, pagination)"
Relay Modern,"Introduction to Relay and GraphQL principles|Relay Compiler and schema definition|Fetching data with queries and fragments|Performing mutations for data modification|Managing local state and cache updates|Pagination and connections in Relay|Subscriptions for real-time data|Error handling and loading states|Advanced features (Environment, Store, Network Layer)"
Static Site Generators,"Understanding static vs. dynamic websites|Benefits of SSGs (performance, security, cost)|Core concepts: data, templates, and build process|Choosing an SSG (e.g., Jekyll, Hugo, Eleventy, Astro)|Content management with Markdown and headless CMS|Deployment of static sites (Netlify, Vercel, GitHub Pages)|Integrating dynamic features (serverless functions, APIs)|SEO and performance optimization for static sites"
Vuepress,Introduction to VuePress and Markdown-driven documentation|Project setup and basic configuration|Markdown extensions and custom components|Theming and custom layout creation|Plugins and the VuePress ecosystem|Deployment of VuePress sites|Search functionality and SEO considerations|Integrating with Vue.js components
Astro,Introduction to Astro and its Island Architecture|Project setup and file-based routing|Astro components and UI framework integrations|Data fetching and static site generation (SSG)|Server-side rendering (SSR) with Astro|Middleware and API routes|Deployment strategies for Astro projects|Performance optimization and hydration control
Eleventy,"Introduction to Eleventy and its philosophy|Project setup and configuration|Templating languages (Nunjucks, Liquid, Handlebars, etc.)|Data management (global, directory, front matter)|Collections and pagination|Shortcodes and filters for content processing|Deployment and build process|Integrating with CSS/JS build tools"
PWAs,Introduction to Progressive Web Apps and their benefits|Web App Manifest configuration|Service Workers: caching strategies for offline access|Service Workers: enabling offline capabilities|Push notifications implementation|Add to Home Screen (A2HS) prompt|Responsive design and adaptive UI for PWAs|Performance optimization for PWAs|Auditing PWAs with Lighthouse
Mobile Apps,"Introduction to mobile app development paradigms (Native, Hybrid, Cross-Platform)|Choosing a development stack (React Native, Flutter, Swift/Kotlin)|UI/UX design principles for mobile applications|Accessing device APIs and permissions (camera, location, notifications)|Data storage and persistence (local, cloud)|Performance optimization for mobile apps|Testing and debugging mobile applications|App Store submission process (Google Play, Apple App Store)|Security considerations in mobile app development"
Ionic,"Introduction to Ionic Framework and hybrid app development|Project setup with Ionic CLI|Ionic UI components and layout|Navigation and routing within Ionic apps|Integrating with Angular, React, or Vue|Accessing native device features with Capacitor/Cordova|Theming and customization of Ionic apps|Building and deploying to iOS/Android platforms|PWA deployment with Ionic"
Desktop Apps,"Introduction to desktop application development|Choosing a framework (Electron, Tauri, Qt, WPF, Swing)|UI/UX design principles for desktop applications|Inter-Process Communication (IPC) mechanisms|Native system integrations (file system, notifications, menus)|Packaging and distribution (installers, app stores)|Performance and resource management|Security considerations for desktop apps|Auto-updates and versioning strategies"
Electron,"Introduction to Electron architecture (Chromium, Node.js, Native APIs)|Project setup and understanding Main vs. Renderer process|Inter-Process Communication (IPC) with ipcMain and ipcRenderer|Creating native menus and context menus|Working with system dialogs and notifications|Packaging and distribution with Electron Forge/Builder|Implementing auto-updates for Electron apps|Performance optimization and security best practices"
Tauri,"Introduction to Tauri and Rust-based desktop apps|Project setup and core concepts (Rust backend, Web frontend)|Communicating between frontend and Rust backend (Commands)|Accessing native system APIs via Rust crates|Bundling and distribution of Tauri apps|Security features and sandboxing|Performance optimization and binary size reduction|Custom menus and system tray integration"
PRPL Pattern,"Introduction to web performance optimization|Push critical resources for the initial route|Render the initial route as quickly as possible|Pre-cache remaining routes and assets|Lazy-load non-critical resources and routes|Tools and techniques for implementing PRPL (Webpack, Service Workers)|Measuring PRPL effectiveness (Lighthouse, Web Vitals)|Applying PRPL to different application architectures"
RAIL Model,"Introduction to user-centric performance metrics|Response: Processing events in under 50ms|Animation: Producing frames in under 10ms|Idle: Maximizing browser idle time|Load: Delivering content in under 1 second|Measuring and diagnosing performance with RAIL|Tools for RAIL analysis (Chrome DevTools, Lighthouse)|Strategies for optimizing each RAIL component|Impact of RAIL on user experience and business metrics"
Using Lighthouse,"Introduction to Web Performance and Auditing|Installing and Running Lighthouse (CLI vs. DevTools)|Understanding Lighthouse Categories (Performance, Accessibility, SEO, PWA, Best Practices)|Interpreting Lighthouse Reports and Scores|Identifying and Prioritizing Performance Bottlenecks|Actionable Recommendations and Fixes|Automating Lighthouse Audits (CI/CD Integration)"
Using DevTools,"Introduction to Browser Developer Tools|Elements Panel: Inspecting and Modifying DOM/CSS|Console Panel: Logging, Debugging JavaScript, and Interacting|Sources Panel: Debugging JavaScript with Breakpoints|Network Panel: Analyzing Network Requests and Responses|Performance Panel: Profiling Runtime Performance|Application Panel: Local Storage, Session Storage, Cookies, Service Workers|Security Panel: Inspecting Security Issues|Audits Panel (Lighthouse Integration)|Memory Panel: Detecting Memory Leaks"
Web Sockets,"Introduction to Real-time Communication and HTTP Limitations|WebSocket Protocol Handshake and Connection Establishment|Sending and Receiving Data (Text and Binary Messages)|WebSocket API (Browser and Node.js ws module)|Handling Connection Lifecycle (Open, Close, Error Events)|Error Handling and Reconnection Strategies|Security Considerations for WebSockets|Scaling WebSocket Applications"
Service Workers,"Introduction to Progressive Web Apps (PWAs) and Offline Capabilities|Service Worker Lifecycle (Registration, Installation, Activation)|Intercepting Network Requests with fetch Event|Caching Strategies (Cache-First, Network-First, Stale-While-Revalidate)|Updating Service Workers and Cache Management|Push Notifications with Service Workers|Background Sync API|Debugging Service Workers in DevTools"
Location,"Introduction to Geolocation API|Requesting User Location (getCurrentPosition)|Monitoring Location Changes (watchPosition)|Handling Geolocation Permissions and Errors|Understanding Geolocation Coordinates (Latitude, Longitude, Accuracy)|Reverse Geocoding and Geocoding Concepts|Privacy and Security Considerations for Location Data|Using Geolocation with Maps APIs"
Device Orientation,"Introduction to Device Motion and Orientation Sensors|Understanding DeviceOrientationEvent (Alpha, Beta, Gamma)|Understanding DeviceMotionEvent (Acceleration, Rotation Rate)|Handling Sensor Data and Event Listeners|Calibrating and Filtering Sensor Data|Use Cases: Games, Augmented Reality, UI Interactions|Browser Compatibility and Permissions"
Payments,"Introduction to Web Payments and Payment Request API|Understanding Payment Methods (Credit Cards, Digital Wallets)|Implementing Payment Request API (Basic Flow)|Handling Payment Responses and Errors|Integrating with Payment Gateways (Stripe, PayPal, etc.)|Security Best Practices for Online Payments (PCI DSS)|Subscription Payments and Recurring Billing|Internationalization and Currency Handling"
SWC,"Introduction to JavaScript Tooling and Transpilers (Babel vs. SWC)|SWC Installation and Basic Usage (CLI)|Configuring SWC for JavaScript/TypeScript Transpilation|SWC for Bundling (swcpack)|Integrating SWC with Build Tools (Webpack, Rollup, Vite)|SWC for Minification and Code Optimization|SWC Plugins and Custom Transformations|Performance Benefits and Comparison with other tools"
Learn a Programming Language,"Understanding Programming Paradigms (Procedural, OOP, Functional)|Basic Syntax and Data Types|Variables, Operators, and Expressions|Control Flow (Conditionals, Loops)|Functions and Modularity|Data Structures (Arrays, Objects/Maps)|Error Handling and Debugging|Input/Output Operations|Introduction to Standard Libraries/Frameworks|Writing and Running Your First Program"
JavaScript / Node.js,"JavaScript Fundamentals (Variables, Data Types, Operators)|Control Flow and Functions|Objects, Arrays, and Prototypes|Asynchronous JavaScript (Callbacks, Promises, Async/Await)|ES6+ Features (Arrow Functions, Classes, Destructuring)|Node.js Environment and npm Package Manager|File System Operations and Modules in Node.js|Building Web Servers with Node.js (Express.js)|Database Integration (MongoDB, PostgreSQL)|Testing and Debugging Node.js Applications"
Operating System,"Introduction to Operating Systems and Their Role|OS Components: Kernel, Shell, File System|Process Management and Scheduling|Memory Management (Virtual Memory, Paging)|File System Concepts (Permissions, Directories, Inodes)|Input/Output Management|Networking Fundamentals (TCP/IP, Sockets)|Security Principles in Operating Systems|Virtualization and Containerization Basics"
Ubuntu / Debian,"Introduction to Debian-based Linux Distributions|Installation and Basic Setup|Command Line Interface (CLI) Fundamentals|Package Management with APT (apt-get, apt)|User and Group Management|File System Navigation and Permissions|System Services Management (systemd)|Networking Configuration|Troubleshooting and Log Analysis|Security Best Practices"
SUSE Linux,"Introduction to SUSE Linux Distributions (openSUSE, SLES)|Installation and Initial Configuration|YaST Control Center for System Management|Package Management with Zypper and RPM|File System Layout and Permissions|User and Group Administration|System Services and Daemons|Networking Configuration|Security Hardening and SELinux/AppArmor Basics|Troubleshooting and System Monitoring"
RHEL / Derivatives,"Introduction to Red Hat Enterprise Linux and its Ecosystem (CentOS, Fedora)|Installation and Initial System Setup|Command Line Interface (CLI) Essentials|Package Management with DNF/YUM and RPM|User and Group Management|File System Hierarchy and Permissions|System Services Management (systemd)|Networking Configuration|SELinux Concepts and Management|Troubleshooting and Performance Monitoring"
FreeBSD,Introduction to FreeBSD and BSD Philosophy|Installation and Basic System Configuration|Command Line Interface (CLI) and Shell Usage|Package Management with Pkg and Ports System|File System Hierarchy and ZFS Fundamentals|User and Group Administration|System Services and rc.d Scripts|Networking Configuration|Jails and Virtualization|Kernel Configuration and Tuning
OpenBSD,"Introduction to OpenBSD and its Security Focus|Installation and Initial System Setup|Command Line Interface (CLI) and Shell Usage|Package Management with Pkg_add and Ports|File System Layout and Permissions|User and Group Management|System Services and rc.d Scripts|Networking Configuration and PF Firewall|Security Features (W^X, ASLR, pledge/unveil)|Kernel Configuration and Hardening"
NetBSD,Introduction to NetBSD and its Portability Focus|Installation and Basic System Configuration|Command Line Interface (CLI) and Shell Usage|Package Management with Pkgsrc|File System Layout and Permissions|User and Group Administration|System Services and rc.d Scripts|Networking Configuration|Kernel Configuration and Customization|Cross-Platform Development with NetBSD
Windows,Introduction to Windows Operating System Architecture|User Interface and Desktop Environment|File System (NTFS) and Permissions|Command Prompt (CMD) and PowerShell Basics|Task Manager and Process Management|Registry Editor and System Configuration|Networking Configuration and Firewall|User Account Control (UAC) and Security Features|Installing and Managing Software|Troubleshooting and Event Viewer
Terminal Knowledge,"Introduction to Command Line Interfaces (CLI)|Basic Navigation (cd, ls, pwd)|File and Directory Management (mkdir, touch, cp, mv, rm)|Input/Output Redirection and Pipes|Text Editors (Vim, Nano)|Permissions and Ownership (chmod, chown)|Environment Variables|Shell Scripting Fundamentals|Process Management (ps, kill, top)|Package Managers (apt, yum, brew)"
Process Monitoring,"Introduction to System Processes and Their States|Using ps Command for Process Information|Real-time Process Monitoring with top and htop|Understanding CPU, Memory, and Disk Usage Metrics|Identifying and Killing Processes (kill, killall)|Monitoring System Logs (journalctl, dmesg)|Network Process Monitoring (netstat, ss)|Performance Analysis Tools (perf, strace)|Setting up Monitoring Agents (Prometheus, Nagios)|Automated Alerting and Reporting"
Performance Monitoring,"Introduction to Performance Metrics (CPU, Memory, Disk I/O)|Monitoring Tools Overview (e.g., top, htop, iostat)|Application Performance Monitoring (APM) Concepts|Log Monitoring and Analysis|Alerting and Notification Systems|Distributed Tracing Fundamentals|Synthetic Monitoring vs. Real User Monitoring (RUM)|Performance Baselines and Anomaly Detection"
Networking Tools,"Basic Network Commands (ping, ipconfig/ifconfig)|Network Connectivity Troubleshooting (traceroute/tracert, nslookup/dig)|Port Scanning and Service Discovery (nmap)|Packet Sniffing and Analysis (tcpdump, Wireshark)|Network Configuration Management (netstat, route)|Bandwidth Monitoring Tools|VPN and Tunneling Utilities|Network Performance Testing Tools"
Text Manipulation,"Basic Command Line Text Viewers (cat, less, more)|Searching Text with grep and egrep|Stream Editing with sed|Text Processing with awk|Sorting and Uniquifying Text (sort, uniq)|Cutting and Pasting Text (cut, paste)|Regular Expressions for Pattern Matching|Advanced Text Processing Pipelines"
Power Shell,"PowerShell Fundamentals and Command Syntax|Working with Cmdlets and Objects|PowerShell Scripting Basics (Variables, Loops, Conditionals)|Pipeline Operations and Object Flow|Managing Files and Directories|Working with Services and Processes|Remote Management with PowerShell|Error Handling and Debugging in PowerShell Scripts|Advanced Scripting Functions and Modules"
What is and how to setup X ?,"Understanding the Purpose of Software X|Prerequisites and System Requirements for X|Installation Methods for X (Package Manager, Source, Installer)|Initial Configuration and Basic Setup of X|Verifying Installation and Basic Functionality|Common Post-Installation Steps and Best Practices|Troubleshooting Initial Setup Issues|Updating and Maintaining Software X"
